"site","Mean beta"
"cg00124004",0.386911592362134
"cg00124375",0.123565725264874
"cg00133476",0.541498223479284
"cg00133811",0.704418295737704
"cg00134539",0.526578955291891
"cg00135497",0.859567619926378
"cg00135888",0.254114412142642
"cg00138101",0.288295823344761
"cg00139947",0.8725982084392
"cg00140447",0.164908151866925
"cg00142036",0.746923675970166
"cg00143364",0.748995370616188
"cg00144186",0.10808065518806
"cg00145253",0.252226210336689
"cg00147286",0.930703928556349
"cg00158333",0.0951561239765821
"cg00159439",0.629749912590875
"cg00159523",0.41370666946231
"cg00166722",0.94552267505683
"cg00168694",0.368199545534379
"cg00168942",0.592042737874748
"cg00169184",0.801567678782067
"cg00169412",0.0798503636536686
"cg00174851",0.461994461591699
"cg00174992",0.671438601341558
"cg00175344",0.126053244296922
"cg00176863",0.23058626619229
"cg00178249",0.200919348305473
"cg00180762",0.17415405979569
"cg00181432",0.368921131574245
"cg00184376",0.171465821401691
"cg00185867",0.735098766052287
"cg00192220",0.346703497303947
"cg00194146",0.157277520560439
"cg00196660",0.71516623011799
"cg00199059",0.475830917307007
"cg00201196",0.557562640198323
"cg00202829",0.199996287591305
"cg00206639",0.377139084397017
"cg00207280",0.253392616402836
"cg00212979",0.877851476905407
"cg00213052",0.179900234160932
"cg00213281",0.848328534085095
"cg00218103",0.0988604016110671
"cg00218409",0.0974821105308301
"cg00220952",0.0229873381665172
"cg00221718",0.271083743863633
"cg00224807",0.887589864858839
"cg00225157",0.349409246993181
"cg00229387",0.388867720509227
"cg00230271",0.0416722647087152
"cg00231966",0.305033439814179
"cg00232500",0.725955157917027
"cg00233028",0.464397577287561
"cg00236919",0.30412373454417
"cg00237631",0.0688238429851826
"cg00240598",0.682426193352592
"cg00241076",0.305681524350938
"cg00241664",0.836514498884087
"cg00245454",0.745956414461823
"cg00246969",0.812319347839611
"cg00247571",0.173276993342924
"cg00249503",0.569056427450609
"cg00251125",0.439334538114829
"cg00253564",0.754272582724941
"cg00254079",0.0415313528018569
"cg00254470",0.625569418896964
"cg00256485",0.393076370424773
"cg00259097",0.778064127187388
"cg00259518",0.812409594234218
"cg00260802",0.224623387211462
"cg00261781",0.0203101023071366
"cg00262030",0.640641328739834
"cg00262054",0.550260194242562
"cg00263146",0.628197359505491
"cg00263619",0.769784453723214
"cg00275479",0.723702118053516
"cg00281837",0.484562461587814
"cg00284153",0.570508381691149
"cg00285343",0.780335076859006
"cg00290355",0.690695163804327
"cg00291213",0.31935781070684
"cg00294109",0.0689896890985096
"cg00294382",0.162845884745424
"cg00296038",0.817652153254943
"cg00297600",0.672416555626776
"cg00298324",0.25843108365094
"cg00300969",0.399415598559814
"cg00303183",0.165250078579775
"cg00303541",0.448646355350149
"cg00306311",0.519177785340646
"cg00311035",0.379548408537516
"cg00313685",0.537254115534439
"cg00317837",0.831867178747798
"cg00323915",0.653833848440442
"cg00327072",0.920481672910588
"cg00327697",0.149294639730418
"cg00328729",0.707898900860299
"cg00329157",0.706718849455776
"cg00329615",0.414756216781339
"cg00335286",0.672993904685387
"cg00336376",0.198928145957556
"cg00338702",0.151205816493697
"cg00339319",0.381273819646081
"cg00339769",0.783230163390807
"cg00343092",0.0656734164586138
"cg00344801",0.642728131118703
"cg00344900",0.0921043047381786
"cg00347938",0.983831931837261
"cg00349895",0.0988928632369569
"cg00350448",0.199835964449693
"cg00350702",0.0445114836354903
"cg00352652",0.973196409940956
"cg00354381",0.786840716029458
"cg00366037",0.87095580043777
"cg00366413",0.718465507062548
"cg00370047",0.827424334042769
"cg00370293",0.0838378561712794
"cg00371593",0.685687062893338
"cg00374717",0.900823035905821
"cg00377358",0.150097152532007
"cg00378158",0.755523014222253
"cg00378510",0.373893284418201
"cg00381131",0.104387516692128
"cg00381391",0.842916776363661
"cg00382138",0.480208507133886
"cg00384539",0.0923954003034607
"cg00386008",0.606313641280716
"cg00388197",0.894089708288859
"cg00391668",0.495376914116674
"cg00393837",0.0956877696741031
"cg00394316",0.0766216843922723
"cg00396158",0.126844791803687
"cg00396427",0.885592985410821
"cg00399027",0.49847640046354
"cg00400126",0.799422636462635
"cg00402516",0.650354288837077
"cg00404400",0.11641238487978
"cg00410898",0.0781783074479818
"cg00411595",0.26266872108697
"cg00412772",0.48637246631006
"cg00412805",0.865476235373583
"cg00412842",0.121062236766034
"cg00414077",0.742152577230879
"cg00415665",0.939379727192831
"cg00416645",0.767533513795131
"cg00419702",0.127088774560507
"cg00421164",0.608159861568332
"cg00426498",0.216341979614366
"cg00429683",0.590118888688668
"cg00431114",0.496267068030685
"cg00431549",0.219377758271576
"cg00432659",0.559522031159972
"cg00433654",0.154626977948433
"cg00434010",0.200858723748538
"cg00434573",0.29339768388202
"cg00436603",0.735246258567031
"cg00439658",0.170223027624946
"cg00441899",0.772282972542234
"cg00442814",0.0883772838576539
"cg00445126",0.136604340480581
"cg00448707",0.759047432770206
"cg00452835",0.751519847724995
"cg00454305",0.490462424830499
"cg00455402",0.168779188645417
"cg00455467",0.621194940307686
"cg00459119",0.751472993811508
"cg00462994",0.115806981953532
"cg00463859",0.685702527729396
"cg00464046",0.500837815093436
"cg00466249",0.539022261291604
"cg00468146",0.198171798554301
"cg00469800",0.518786914015396
"cg00469897",0.548906029607277
"cg00472520",0.620816237430381
"cg00472758",0.653213448151628
"cg00474746",0.226652281870866
"cg00475235",0.549222994230348
"cg00476608",0.57891387861331
"cg00480331",0.0878872922905012
"cg00481350",0.164818500612253
"cg00481951",0.191080997127875
"cg00484358",0.294080854429366
"cg00484711",0.360305204066664
"cg00486113",0.32559850497144
"cg00489660",0.384678186057232
"cg00491404",0.72254354956452
"cg00493304",0.900190546795331
"cg00495775",0.165734755166739
"cg00496272",0.132779035548864
"cg00498804",0.732305653363602
"cg00499700",0.387722155516447
"cg00501876",0.578858931367678
"cg00503447",0.592148077377166
"cg00503840",0.180489347849641
"cg00504285",0.476300132087896
"cg00504599",0.41164266662715
"cg00508575",0.677568031365844
"cg00509451",0.762642634206868
"cg00513984",0.391909475499238
"cg00515905",0.876122643241107
"cg00519063",0.645012288053284
"cg00524708",0.531313664135395
"cg00525931",0.784143147442522
"cg00526336",0.941059224630114
"cg00527552",0.798993607150529
"cg00528616",0.266322120932766
"cg00530564",0.282039708218842
"cg00530870",0.512475207929683
"cg00532936",0.684059187359901
"cg00536792",0.71767481512046
"cg00537673",0.757464281426551
"cg00542975",0.4386198162287
"cg00545196",0.799518853680567
"cg00548098",0.484829787464555
"cg00548708",0.135103244836919
"cg00551910",0.496991463052304
"cg00553886",0.243084598243834
"cg00565412",0.797820510649547
"cg00565688",0.17257416978317
"cg00566320",0.722263743870215
"cg00566982",0.714708608802674
"cg00569896",0.620152273482862
"cg00573770",0.406148885841576
"cg00574379",0.35984212926972
"cg00574740",0.540674998209978
"cg00575672",0.810819836434805
"cg00577202",0.198325250038427
"cg00582628",0.542215917654757
"cg00582902",0.763249910947151
"cg00585776",0.823783990572048
"cg00587301",0.0939096606063874
"cg00589617",0.79854852844629
"cg00590036",0.126801238722108
"cg00590063",0.324297675191915
"cg00590324",0.0952246924700262
"cg00591515",0.780452289505029
"cg00591868",0.667437310526859
"cg00592795",0.26538318012107
"cg00593462",0.648943737816845
"cg00593900",0.177441193401976
"cg00595243",0.182115221713591
"cg00602326",0.716929076637508
"cg00602811",0.428515020862626
"cg00608540",0.537453852018595
"cg00610577",0.269271205872492
"cg00610692",0.572450760662658
"cg00613752",0.263309666827088
"cg00619207",0.368158638931346
"cg00619628",0.652392741131921
"cg00620464",0.719082669669647
"cg00624799",0.787153527245586
"cg00625653",0.0975482244106885
"cg00634542",0.552287879115792
"cg00637144",0.547801396533467
"cg00638574",0.697083633999517
"cg00639635",0.537564165667404
"cg00640314",0.744574870341986
"cg00645755",0.300542646050207
"cg00646621",0.872739163653259
"cg00654888",0.260466395974385
"cg00656728",0.57621902795866
"cg00659931",0.762185107305063
"cg00662956",0.398563246718086
"cg00664406",0.460333718594156
"cg00664416",0.244718437109247
"cg00670942",0.358643156810296
"cg00677334",0.694667326836939
"cg00677866",0.132637611018501
"cg00679184",0.708782232901433
"cg00682096",0.904328257268622
"cg00685014",0.161502538228475
"cg00686880",0.23471778511009
"cg00687674",0.331036174392619
"cg00688297",0.215379147347048
"cg00688820",0.815599322076129
"cg00688941",0.76104490977251
"cg00689340",0.478341807497464
"cg00690609",0.2007738145274
"cg00691729",0.389054123054825
"cg00692173",0.655937409977479
"cg00695391",0.34872085798158
"cg00695799",0.145781439444829
"cg00698575",0.596757140926636
"cg00700412",0.79783796933818
"cg00701064",0.350305439997329
"cg00701706",0.562300610156144
"cg00705600",0.739473447148172
"cg00709775",0.680655394692233
"cg00711496",0.850796485595531
"cg00711896",0.908161391389278
"cg00713247",0.723561019808681
"cg00718261",0.608125057769144
"cg00723041",0.488073860947787
"cg00725635",0.129046615661854
"cg00737841",0.782276213180983
"cg00739120",0.390816182823335
"cg00740914",0.778275463977712
"cg00741333",0.722799184480182
"cg00741624",0.257970925576687
"cg00743094",0.0855722212221156
"cg00744433",0.874069914932524
"cg00745389",0.110384108680839
"cg00747849",0.301127922701679
"cg00748072",0.541729357860583
"cg00748432",0.387920366663253
"cg00748589",0.227346397201887
"cg00748718",0.148251043533485
"cg00750518",0.56694879334649
"cg00751072",0.240228521829532
"cg00751156",0.0298832036976204
"cg00753676",0.661369514272029
"cg00753885",0.731361372585628
"cg00755751",0.743778237232399
"cg00759807",0.692073118792209
"cg00760203",0.253712892390263
"cg00765705",0.392355032277043
"cg00771084",0.335877057499164
"cg00771722",0.527334239580465
"cg00774006",0.864901098963192
"cg00777079",0.819330187448929
"cg00777315",0.57513334427689
"cg00777445",0.466344796358397
"cg00779065",0.169877926815245
"cg00782708",0.501761208790831
"cg00782811",0.269301383054461
"cg00784009",0.792548045219447
"cg00784161",0.760434389052716
"cg00785170",0.103810520943881
"cg00787180",0.628152990336739
"cg00791074",0.235138203540162
"cg00793186",0.266800146268218
"cg00794400",0.165439414606674
"cg00797104",0.619886434161617
"cg00798876",0.354482401728426
"cg00804078",0.312221298011857
"cg00806461",0.207117793159889
"cg00808648",0.288610683492272
"cg00810710",0.531583609711847
"cg00812303",0.0593324428806515
"cg00812557",0.286966926737233
"cg00815325",0.472585406904253
"cg00816515",0.318286187649589
"cg00816609",0.518291706410413
"cg00818872",0.0617703004322785
"cg00822241",0.228365581102561
"cg00823843",0.636537069901498
"cg00824381",0.669177756807922
"cg00826902",0.798831272180156
"cg00827893",0.794732380337655
"cg00833441",0.779760979397385
"cg00834922",0.452560120149458
"cg00835193",0.84644580406418
"cg00836308",0.726363576331347
"cg00841725",0.18947966071574
"cg00842095",0.772759802637972
"cg00845900",0.905065538644193
"cg00847453",0.635057655287075
"cg00850073",0.0906842656577947
"cg00851028",0.605921797352537
"cg00853733",0.123575531983143
"cg00858599",0.120195235874856
"cg00862290",0.667068781317729
"cg00863306",0.113887426641376
"cg00864867",0.0502863591933161
"cg00866476",0.223089584076157
"cg00875989",0.320791288013488
"cg00876127",0.445580425326173
"cg00876694",0.63996403848187
"cg00878605",0.0935182920485074
"cg00881300",0.529038020039385
"cg00887112",0.868007985676194
"cg00894103",0.861088592874482
"cg00897703",0.538264246139249
"cg00899855",0.730550721322073
"cg00901982",0.32460397815615
"cg00902104",0.130887039678037
"cg00908571",0.701391699332148
"cg00910503",0.951930005413961
"cg00911776",0.669599109550509
"cg00913360",0.767920986834075
"cg00916659",0.378283243966182
"cg00916899",0.190988858956761
"cg00924459",0.320282973335516
"cg00927035",0.429068394914471
"cg00927554",0.101822142944271
"cg00929336",0.27687346461232
"cg00930606",0.507618641217547
"cg00930873",0.128592919178801
"cg00931644",0.778020374673051
"cg00935108",0.683099946365873
"cg00939727",0.833686421848072
"cg00943950",0.0598500657749095
"cg00944304",0.692186518126881
"cg00945507",0.416849657315518
"cg00946598",0.863773044892532
"cg00948664",0.251562595511319
"cg00950381",0.736377530143976
"cg00950497",0.516357096453531
"cg00951302",0.597213854636997
"cg00953256",0.776920821581274
"cg00955230",0.0674653276839561
"cg00955808",0.443007954753718
"cg00956987",0.461890535913806
"cg00958560",0.427713685383365
"cg00959259",0.538658631047292
"cg00959431",0.168804362943118
"cg00965203",0.630820884480021
"cg00968167",0.536279958714567
"cg00971695",0.369766227677017
"cg00973876",0.45172940526681
"cg00980058",0.205775553340464
"cg00982521",0.627663119590948
"cg00986133",0.59352104380802
"cg00989249",0.349575409499369
"cg00990385",0.682572473116
"cg00992850",0.211899469165739
"cg00994936",0.844030536359497
"cg01004762",0.388228710757336
"cg01004980",0.663276592490889
"cg01005506",0.292540388007928
"cg01012879",0.527068816044204
"cg01015287",0.487189244457298
"cg01015663",0.409998546139658
"cg01017257",0.56779236173388
"cg01020263",0.124352155333665
"cg01021742",0.449007277572215
"cg01022974",0.103877972860863
"cg01026383",0.766666268279727
"cg01026796",0.80304803292562
"cg01026898",0.255720314939428
"cg01027739",0.0851951921683881
"cg01027805",0.0823403731537564
"cg01028796",0.774186291176706
"cg01030121",0.0776165532184869
"cg01031101",0.243593978163092
"cg01040749",0.549061382491664
"cg01044662",0.388808132080121
"cg01047631",0.112666028437559
"cg01048752",0.77800182978355
"cg01049678",0.102744734645497
"cg01055562",0.465098928717587
"cg01055591",0.592747555908438
"cg01055696",0.77650865617496
"cg01056568",0.517266426062627
"cg01067137",0.622572091086999
"cg01070272",0.124861495365674
"cg01076874",0.854830999011151
"cg01079060",0.720115783569
"cg01080924",0.161348108221609
"cg01080998",0.157866735999188
"cg01083131",0.352023696012818
"cg01083549",0.856568373709577
"cg01087254",0.341631162238869
"cg01091143",0.779438119449282
"cg01101459",0.72389488186638
"cg01102833",0.212104248205735
"cg01104306",0.682739500242564
"cg01105337",0.662399995533401
"cg01106572",0.627934995244603
"cg01108112",0.414690757418426
"cg01108243",0.38993037514895
"cg01109535",0.505275500256106
"cg01114088",0.0995448312000916
"cg01119452",0.343445783724392
"cg01120308",0.178173751821533
"cg01120509",0.399719163033058
"cg01120874",0.229591105635598
"cg01124546",0.451449249806678
"cg01128603",0.105996644551271
"cg01129238",0.775641682383454
"cg01130010",0.591001020447777
"cg01131735",0.0387007854906852
"cg01132443",0.823707775720256
"cg01132568",0.785580171326187
"cg01135648",0.47297827392432
"cg01135780",0.0390976947462636
"cg01137065",0.0359275894313167
"cg01140244",0.239064085243772
"cg01141812",0.192056939470216
"cg01142735",0.618321635423907
"cg01143068",0.35096704745876
"cg01145119",0.603571167036132
"cg01146320",0.188094524749109
"cg01149683",0.573465570505168
"cg01151584",0.56598800672266
"cg01152408",0.276956439047094
"cg01153166",0.116798395072035
"cg01153613",0.621146925005756
"cg01154283",0.473712864483971
"cg01154445",0.167606482859534
"cg01157004",0.669429132565425
"cg01158574",0.139799669247006
"cg01161042",0.752778787467868
"cg01163369",0.773815141667007
"cg01164819",0.573782974534153
"cg01165661",0.741635394655048
"cg01172150",0.234348691422628
"cg01175767",0.0878845188384625
"cg01176433",0.426854476607771
"cg01176694",0.594168523940909
"cg01177100",0.395627064397793
"cg01182455",0.429288176883207
"cg01185345",0.453073610190031
"cg01188914",0.488633693439361
"cg01190666",0.533070227587587
"cg01194538",0.671459941555126
"cg01196788",0.217847996082766
"cg01196858",0.561324795990513
"cg01201215",0.65915983790369
"cg01201399",0.653301256183206
"cg01202519",0.491836015347922
"cg01204844",0.486749741391443
"cg01204911",0.555702300605934
"cg01208318",0.392458821582191
"cg01208873",0.600465673027091
"cg01210113",0.111003977205458
"cg01211097",0.415438459209278
"cg01211124",0.806264851884535
"cg01212284",0.533662473421209
"cg01215339",0.17487236805086
"cg01219347",0.269449537500386
"cg01221637",0.0553951332065916
"cg01230796",0.134303670177335
"cg01233571",0.799790053828877
"cg01233720",0.702491802921825
"cg01234063",0.0470943026374482
"cg01235820",0.587975713639282
"cg01236063",0.255523668740941
"cg01242348",0.669630001636158
"cg01243823",0.282729756613029
"cg01252496",0.442423219774611
"cg01254459",0.0408355173292774
"cg01255465",0.256830632235258
"cg01256539",0.699055151566218
"cg01261013",0.48966054645321
"cg01261503",0.069915929797574
"cg01262913",0.070377136452617
"cg01264729",0.667693715348099
"cg01267797",0.258518272564282
"cg01268022",0.499566362234083
"cg01268763",0.230104425840714
"cg01268824",0.177140203682104
"cg01270709",0.763921061925769
"cg01272428",0.216898835398681
"cg01273309",0.757641401407672
"cg01274660",0.290857969882602
"cg01275661",0.73476537452773
"cg01275830",0.863751413619072
"cg01275932",0.646838232255978
"cg01276475",0.140183809567875
"cg01278041",0.691759385266047
"cg01279933",0.50446997092529
"cg01281231",0.779497907915309
"cg01281718",0.71501282801244
"cg01281911",0.0972159029178778
"cg01283289",0.098785481867014
"cg01286133",0.849352846891511
"cg01287975",0.1954532153944
"cg01288337",0.291579119879671
"cg01291336",0.272521211848679
"cg01291375",0.779002643894923
"cg01294327",0.597737664344514
"cg01295203",0.14632754528369
"cg01295249",0.623486104782265
"cg01297806",0.395718338879419
"cg01299997",0.425746559555794
"cg01300291",0.273488328063898
"cg01301282",0.194620188066568
"cg01302240",0.87896686828533
"cg01302656",0.203090959453475
"cg01303055",0.149131294441063
"cg01304182",0.699741679569085
"cg01305745",0.724300035928188
"cg01309046",0.722663326227851
"cg01309569",0.619671338384086
"cg01314574",0.555371212170573
"cg01319701",0.234361089026981
"cg01321174",0.709195399558498
"cg01321673",0.383877406321965
"cg01323777",0.887326629041507
"cg01324550",0.469384767356814
"cg01329756",0.388841274949042
"cg01331461",0.743216475451237
"cg01331772",0.751651854674336
"cg01331992",0.507903969591533
"cg01335367",0.113728393589483
"cg01338474",0.827695586608658
"cg01343041",0.493321666458817
"cg01351315",0.38659240252051
"cg01352090",0.208211930424139
"cg01352586",0.0829810920035035
"cg01352688",0.714824827486385
"cg01353448",0.597695931009391
"cg01354961",0.0958278292920988
"cg01355392",0.513233437042503
"cg01356824",0.140331714407122
"cg01358444",0.818972688277936
"cg01360627",0.6841085965135
"cg01360720",0.753025064082778
"cg01363474",0.332299635459345
"cg01364674",0.687860227491866
"cg01364769",0.818012936302202
"cg01364969",0.814102823230992
"cg01366595",0.0594338501584716
"cg01366985",0.234868604099698
"cg01368217",0.629183111015735
"cg01373248",0.276364990514323
"cg01383911",0.603564355105704
"cg01385679",0.544590164614468
"cg01395261",0.695023487831212
"cg01396774",0.16753039056034
"cg01397912",0.801357827312121
"cg01399317",0.473317709276499
"cg01399860",0.726084406059858
"cg01400401",0.117496943567886
"cg01401641",0.587155687637402
"cg01403010",0.349472728855018
"cg01405107",0.449744700265759
"cg01405582",0.78600542794139
"cg01407797",0.0705385076069211
"cg01410314",0.800233860479465
"cg01410359",0.226149245432996
"cg01410876",0.273498970155913
"cg01411823",0.43370250339461
"cg01411921",0.0951450437926311
"cg01412419",0.948466152499981
"cg01416295",0.311228796607674
"cg01418351",0.568389183649614
"cg01422243",0.567362075234777
"cg01424460",0.0749834298071223
"cg01424901",0.414168328455619
"cg01425188",0.771623760565796
"cg01426818",0.321277470080679
"cg01428071",0.506966930373782
"cg01429360",0.0863874141513759
"cg01431340",0.263538404474702
"cg01431482",0.59445815908148
"cg01432620",0.084717496849343
"cg01433297",0.75008264649989
"cg01435109",0.245648676757151
"cg01435643",0.474386255164014
"cg01436254",0.386609084249232
"cg01441777",0.414826531036399
"cg01444397",0.0468432255829484
"cg01447660",0.256185781558805
"cg01449715",0.242997790687495
"cg01450566",0.549523042429812
"cg01450842",0.906990778532625
"cg01452189",0.763137832324883
"cg01454592",0.536414541200084
"cg01454951",0.209798172516571
"cg01455178",0.685129261546212
"cg01459453",0.712856524448964
"cg01464052",0.170775292714752
"cg01464985",0.166278559592634
"cg01468420",0.296115989270521
"cg01470340",0.394933702515235
"cg01471293",0.214225685373912
"cg01472299",0.122696869150542
"cg01478234",0.806893972953432
"cg01479232",0.580304964227939
"cg01485645",0.149396068462264
"cg01486146",0.147879832764498
"cg01491071",0.62472171617447
"cg01492538",0.344118686435936
"cg01495321",0.13102977106621
"cg01496136",0.430175117286901
"cg01498832",0.42374118636442
"cg01499988",0.850410863315505
"cg01500140",0.732545500602869
"cg01502244",0.723826132336665
"cg01502872",0.335554577110252
"cg01502919",0.769621841438951
"cg01509853",0.738776846361019
"cg01510388",0.446763868149479
"cg01511232",0.820629501974061
"cg01511567",0.179180182488008
"cg01512113",0.777660649754514
"cg01513913",0.359501081339508
"cg01516872",0.284397062914452
"cg01517033",0.854519847749989
"cg01519742",0.0824509137907527
"cg01521220",0.326503342173462
"cg01521274",0.791842118128201
"cg01527777",0.263634655225087
"cg01528542",0.614186814912373
"cg01530032",0.4996539589578
"cg01531701",0.82573548107881
"cg01535080",0.234476337818912
"cg01538731",0.661370623426431
"cg01538969",0.457797634213099
"cg01541867",0.355702487546752
"cg01542019",0.565997869831899
"cg01542719",0.764794602939127
"cg01544270",0.315182298411489
"cg01550148",0.271264177665639
"cg01554383",0.690817333927949
"cg01557798",0.283737397110809
"cg01558040",0.0766420115075929
"cg01560871",0.711351379602115
"cg01561259",0.767313236860752
"cg01567482",0.358897508291358
"cg01569083",0.204992394230062
"cg01570885",0.443854421131085
"cg01571001",0.816978717671151
"cg01573140",0.738290902561234
"cg01574364",0.611910659148434
"cg01574390",0.346085298372174
"cg01574513",0.0648601144820405
"cg01580888",0.107170304760628
"cg01582532",0.670557784586837
"cg01584473",0.814124211955305
"cg01589860",0.486464419143717
"cg01591938",0.226532641052516
"cg01592801",0.195602507232192
"cg01593969",0.557947655357136
"cg01597480",0.205244459104339
"cg01599714",0.734623943339173
"cg01603073",0.771398559644648
"cg01604883",0.558569155956226
"cg01606885",0.77859639908112
"cg01607625",0.639047056393589
"cg01608493",0.675303084071741
"cg01610165",0.0951388104012961
"cg01611777",0.438859831874631
"cg01612292",0.858807743536592
"cg01612629",0.16860088416753
"cg01613048",0.637939753119223
"cg01616956",0.781529595900862
"cg01620164",0.624862903788727
"cg01620785",0.274060445284193
"cg01622416",0.658198836889589
"cg01623187",0.923016207820079
"cg01623438",0.281365025194832
"cg01624414",0.255370704796835
"cg01626227",0.0836511972248006
"cg01626885",0.283153494428224
"cg01632240",0.422815378734087
"cg01632288",0.685374945961959
"cg01635555",0.831777028147632
"cg01641371",0.151042907822116
"cg01644850",0.0397760936122962
"cg01647729",0.779511237931046
"cg01651821",0.0419704414045966
"cg01656216",0.819674425343677
"cg01656750",0.660938109479819
"cg01657207",0.201313086855691
"cg01663440",0.445571621781951
"cg01663970",0.735079746664675
"cg01664241",0.181721793546028
"cg01676795",0.535745967687931
"cg01678580",0.840995525286037
"cg01681881",0.153498812303157
"cg01682111",0.407389334981943
"cg01684175",0.8708040311471
"cg01689404",0.443755301651932
"cg01692482",0.646498729967546
"cg01694939",0.830847924041381
"cg01695994",0.686934847233442
"cg01697487",0.630550090239207
"cg01700003",0.133722142605324
"cg01706991",0.680493252916826
"cg01716683",0.677609166593973
"cg01723606",0.959256865873075
"cg01723892",0.320382325985006
"cg01729837",0.467972660240514
"cg01730064",0.65297193059216
"cg01750611",0.137486034390719
"cg01751992",0.496030344423755
"cg01752594",0.476879524052097
"cg01753544",0.448898924772792
"cg01757168",0.690359933311369
"cg01760189",0.84905895502309
"cg01763090",0.138005924809434
"cg01765641",0.809544279200536
"cg01770755",0.159244022705733
"cg01771416",0.6714514716693
"cg01771737",0.725880344186109
"cg01772439",0.577948847445619
"cg01776299",0.731250469949248
"cg01777121",0.319943459344276
"cg01778842",0.861178823526084
"cg01782486",0.651436985884402
"cg01782798",0.755631357168988
"cg01786973",0.601375523404645
"cg01787559",0.55407652634833
"cg01789150",0.0733700014305275
"cg01790771",0.335415499346923
"cg01791034",0.890481353388276
"cg01792666",0.146266591295282
"cg01794929",0.796740077692671
"cg01797043",0.452375883032749
"cg01798157",0.306284210538289
"cg01799015",0.55035242718184
"cg01799671",0.117853148930491
"cg01799818",0.623441220437813
"cg01800253",0.288376933269361
"cg01807748",0.866012426607414
"cg01810926",0.480599312302675
"cg01811325",0.133429470101306
"cg01811815",0.46858726660751
"cg01812045",0.257242365228533
"cg01815801",0.462575503563161
"cg01816936",0.252671486098965
"cg01820374",0.287710959951843
"cg01820962",0.755184493084372
"cg01821684",0.574292422814588
"cg01822585",0.645672781058675
"cg01823925",0.598238841923601
"cg01824466",0.429226432506917
"cg01827633",0.329717747537135
"cg01829002",0.0696387463767405
"cg01832549",0.485270351182691
"cg01833222",0.815551564761622
"cg01833890",0.377807904201674
"cg01836137",0.523947357247296
"cg01838971",0.535753661100608
"cg01839993",0.339097491833465
"cg01841306",0.327251913563035
"cg01841471",0.591603218419369
"cg01844642",0.451927278584274
"cg01847889",0.764935820162148
"cg01852476",0.199786983204882
"cg01856384",0.562412275574222
"cg01856645",0.279523881181643
"cg01858712",0.295901794825347
"cg01859616",0.530774734213771
"cg01867395",0.287060908913243
"cg01867764",0.593037511490723
"cg01870865",0.309555028286982
"cg01871427",0.628795441995481
"cg01873645",0.0384310659236216
"cg01873886",0.169664427519696
"cg01873977",0.712386114211668
"cg01877450",0.38387725064422
"cg01877778",0.949158832457093
"cg01883046",0.832526184371367
"cg01883408",0.457610330295701
"cg01885071",0.0829948926936671
"cg01889025",0.663042994247798
"cg01889237",0.217979802236766
"cg01890712",0.67935885455878
"cg01890836",0.557284344190126
"cg01891736",0.556720066297196
"cg01893068",0.564916800340814
"cg01894038",0.440404863311076
"cg01894064",0.12609274603896
"cg01894508",0.631327350971724
"cg01899089",0.485527550894019
"cg01899253",0.210773367988717
"cg01900358",0.786540568454615
"cg01901101",0.341268273377724
"cg01901332",0.654582406903044
"cg01901466",0.719663782300133
"cg01902066",0.213762513344974
"cg01902845",0.361067650507798
"cg01907106",0.517606861955851
"cg01908954",0.165125953783817
"cg01912455",0.88066282514823
"cg01915516",0.0887644144346548
